,country,date,sexual violence,rate
461,Kuwait,2004,393,17.94942646
462,Kuwait,2005,372,16.4309938
463,Kuwait,2006,422,17.9464422
464,Kuwait,2007,421,17.1989911
465,Kuwait,2008,421,16.52048717
466,Kuwait,2009,509,19.23450451
469,Kyrgyzstan,2003,15,0.299499955
470,Kyrgyzstan,2004,17,0.338755683
471,Kyrgyzstan,2005,16,0.317310413
472,Kyrgyzstan,2006,18,0.354071149
473,Kyrgyzstan,2007,14,0.272415251
474,Kyrgyzstan,2008,13,0.249802848
475,Kyrgyzstan,2009,34,0.645051864
477,Kyrgyzstan,2011,55,1.019919964
478,Latvia*,2003,305,13.06643533
479,Latvia*,2004,648,27.94031982
480,Latvia*,2005,721,31.27266292
481,Latvia*,2006,328,14.30390566
482,Latvia*,2007,460,20.16046856
483,Latvia*,2008,416,18.31632469
484,Latvia*,2009,315,13.92954744
485,Latvia*,2010,231,10.25727556
496,Lithuania,2003,415,12.03886086
497,Lithuania,2004,444,12.93683677
498,Lithuania,2005,558,16.33609974
499,Lithuania,2006,521,15.33302236
500,Lithuania,2007,385,11.39375853
501,Lithuania,2008,368,10.95303618
502,Lithuania,2009,362,10.83476475
503,Lithuania,2010,514,15.46510708
504,Lithuania,2011,529,15.99404501
508,Luxembourg,2006,205,44.03053356
509,Luxembourg,2007,592,124.4445192
510,Luxembourg,2008,353,72.51721
511,Luxembourg,2009,304,61.08870522
512,Luxembourg,2010,260,51.23677697
513,Luxembourg,2011,284,55.0450536
518,Maldives,2007,342,112.6708594
519,Maldives,2008,465,151.1546263
527,Malta*,2007,70,16.96525516
528,Malta*,2008,80,19.32619231
529,Malta*,2009,82,19.74856702
530,Malta*,2010,91,21.84795265
531,Malta*,2011,69,16.51290519
532,Mauritius,2003,298,24.15705654
533,Mauritius,2004,297,23.84260987
534,Mauritius,2005,314,24.98523961
535,Mauritius,2006,420,33.157441
536,Mauritius,2007,384,30.10230079
537,Mauritius,2008,413,32.16889214
538,Mauritius,2009,442,34.22088264
539,Mauritius,2010,432,33.25194816
540,Mauritius,2011,466,35.66527603
542,Mexico,2004,28815,27.39694326
543,Mexico,2005,28622,26.87921689
544,Mexico,2006,30906,28.66038463
545,Mexico,2007,33102,30.30742701
546,Mexico,2008,32862,29.70518324
547,Mexico,2009,33815,30.18297165
548,Mexico,2010,34113,30.07589807
549,Mexico,2011,34027,29.64196329
552,Mongolia,2005,338,13.26874829
553,Mongolia,2006,323,12.49930828
554,Mongolia,2007,366,13.94546561
555,Mongolia,2008,373,13.98326657
556,Mongolia,2009,347,12.79659426
557,Mongolia,2010,362,13.13497346
558,Mongolia,2011,388,13.8565787
559,Montenegro,2003,32,5.099601594
560,Montenegro,2004,42,6.699504875
561,Montenegro,2005,35,5.584461794
562,Montenegro,2006,43,6.857244918
563,Montenegro,2007,30,4.77735914
564,Montenegro,2008,35,5.562751814
565,Montenegro,2009,42,6.662066668
566,Montenegro,2010,36,5.700802863
567,Montenegro,2011,42,6.642826301
568,Morocco,2003,827,2.777934907
569,Morocco,2004,594,1.974592775
570,Morocco,2005,929,3.056677882
571,Morocco,2006,2243,7.305692995
572,Morocco,2007,2531,8.161567697
573,Morocco,2008,2559,8.170119055
574,Morocco,2009,3252,10.27990812
578,Mozambique,2004,834,4.11927382
579,Mozambique,2005,789,3.798745817
580,Mozambique,2006,639,3.001274908
581,Mozambique,2007,629,2.883822836
582,Mozambique,2008,640,2.865727245
583,Mozambique,2009,613,2.68170322
588,Netherlands,2005,12700,77.88803466
589,Netherlands,2006,9355,57.11944938
590,Netherlands,2007,8495,51.66180425
591,Netherlands,2008,7670,46.47565757
592,Netherlands,2009,7455,45.02010596
593,Netherlands,2010,7020,42.25609505
594,Netherlands,2011,6650,39.90459861
597,New Zealand,2005,2465,59.62579192
598,New Zealand,2006,2823,67.45676065
599,New Zealand,2007,2788,65.87184147
600,New Zealand,2008,2732,63.86446894
601,New Zealand,2009,2826,65.37689572
602,New Zealand,2010,2913,66.68748409
603,New Zealand,2011,3347,75.8181714
611,Nicaragua,2010,3626,62.64509137
613,Norway,2003,1996,43.78479641
614,Norway,2004,1952,42.55462012
615,Norway,2005,1960,42.39397936
616,Norway,2006,2176,46.60724528
617,Norway,2007,2235,47.33147876
618,Norway,2008,2296,48.04393593
619,Norway,2009,2410,49.85517176
620,Norway,2010,2448,50.13197529
621,Norway,2011,2661,54.03212444
626,Oman,2007,132,5.1538603
627,Oman,2008,183,6.939801582
633,Panama*,2005,783,24.17919657
634,Panama*,2006,817,24.79828251
635,Panama*,2007,877,26.17384627
636,Panama*,2008,732,21.48841314
637,Panama*,2009,830,23.97526677
638,Panama*,2010,1008,28.66225738
639,Panama*,2011,2063,57.76793977
643,Paraguay,2006,2555,42.52240581
644,Paraguay,2007,2612,42.68465567
645,Paraguay,2008,2752,44.17163892
646,Paraguay,2009,3114,49.10206607
647,Paraguay,2010,3395,52.59857081
648,Paraguay,2011,3528,53.71261013
652,Philippines,2006,1311,1.504885281
653,Philippines,2007,1410,1.590477332
654,Philippines,2008,1506,1.670120411
655,Philippines,2009,1601,1.745851748
656,Philippines,2010,2176,2.333241884
657,Philippines,2011,1744,1.838653321
662,Poland,2007,3709,9.712027009
663,Poland,2008,3294,8.618871162
664,Poland,2009,3187,8.332194313
665,Poland,2010,3099,8.096317704
666,Poland,2011,3030,7.911444254
667,Portugal,2003,1966,18.78498058
668,Portugal,2004,1701,16.19035826
669,Portugal,2005,1619,15.35519487
670,Portugal,2006,1729,16.3458166
671,Portugal,2007,1810,17.06253636
672,Portugal,2008,2251,21.16673368
673,Portugal,2009,2556,23.98384187
674,Portugal,2010,2206,20.66399814
675,Portugal,2011,2182,20.41224312
679,Republic of Korea,2006,13652,28.88228213
680,Republic of Korea,2007,13435,28.28459162
681,Republic of Korea,2008,15021,31.46816822
682,Republic of Korea,2009,15688,32.70791674
683,Republic of Korea,2010,18220,37.8137085
684,Republic of Korea,2011,19491,40.2778654
686,Republic of Moldova,2004,471,12.30437738
687,Republic of Moldova,2005,393,10.4330485
688,Republic of Moldova,2006,389,10.47117318
689,Republic of Moldova,2007,423,11.52105111
690,Republic of Moldova,2008,474,13.03967831
691,Republic of Moldova,2009,402,11.15782409
692,Republic of Moldova,2010,557,15.58964254
693,Republic of Moldova,2011,461,13.00473022
698,Romania,2007,1565,7.230345311
699,Romania,2008,1566,7.253511237
703,Russian Federation,2003,14299,9.869515262
704,Russian Federation,2004,16381,11.35149511
705,Russian Federation,2005,18491,12.85497352
706,Russian Federation,2006,20914,14.57319448
707,Russian Federation,2007,20182,14.08427773
708,Russian Federation,2008,18852,13.16819767
709,Russian Federation,2009,17903,12.51397293
710,Russian Federation,2010,15770,11.03119931
711,Russian Federation,2011,16647,11.65466119
722,Saint Vincent and the Grenadines,2004,193,177.7720465
723,Saint Vincent and the Grenadines,2005,114,104.8227668
724,Saint Vincent and the Grenadines,2006,152,139.5545273
725,Saint Vincent and the Grenadines,2007,145,132.9543371
726,Saint Vincent and the Grenadines,2008,169,154.7930902
727,Saint Vincent and the Grenadines,2009,204,186.6952201
728,Saint Vincent and the Grenadines,2010,168,153.6590051
729,Saint Vincent and the Grenadines,2011,426,389.5213277
733,Sao Tome and Principe,2006,0,0
734,Sao Tome and Principe,2007,0,0
735,Sao Tome and Principe,2008,0,0
736,Sao Tome and Principe,2009,0,0
737,Sao Tome and Principe,2010,0,0
738,Sao Tome and Principe,2011,0,0
741,Serbia,2005,532,5.39764403
742,Serbia,2006,457,4.646272749
743,Serbia,2007,419,4.261163995
744,Serbia,2008,436,4.430281994
745,Serbia,2009,455,4.618614132
746,Serbia,2010,493,5.001916556
747,Serbia,2011,379,3.846165946
752,Sierra Leone,2007,695,12.68644279
753,Sierra Leone,2008,623,11.10095652
760,Singapore,2006,1398,31.70100375
761,Singapore,2007,1468,32.01818842
762,Singapore,2008,1403,29.39933985
763,Singapore,2009,1475,29.82421909
764,Singapore,2010,1579,31.0434573
765,Singapore,2011,1546,29.79992224
769,Slovakia,2006,283,5.219358768
770,Slovakia,2007,293,5.394980716
771,Slovakia,2008,252,4.631242805
772,Slovakia,2009,230,4.218660124
773,Slovakia,2010,193,3.533427229
774,Slovakia,2011,234,4.276705007
775,Slovenia,2003,145,7.270262221
776,Slovenia,2004,369,18.46884746
777,Slovenia,2005,311,15.53381377
778,Slovenia,2006,286,14.25081332
779,Slovenia,2007,363,18.03865639
780,Slovenia,2008,276,13.67574221
781,Slovenia,2009,345,17.04511769
782,Slovenia,2010,375,18.47581885
783,Slovenia,2011,312,15.33160492
785,Solomon Islands,2004,319,69.81543775
786,Solomon Islands,2005,204,43.42227094
787,Solomon Islands,2006,231,47.82608696
788,Solomon Islands,2007,139,27.99653568
